,ID_Start_Location,freq.loc,Start_Lat,Start_Lng,End_Lat,End_Lng,Start_Time,End_Time,differ_HHMM,Start_hms,End_hms,Year,Month,Day,Date,Start_Hour_numric,End_Hour_numric,Accident.Description,Severity,Distance.mi.,Traffic.Speed,Traffic.Speed.No.Accident,Number,Street,Street_Category,Side,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Weather_Condition_Timestamp,Temperature.F.,Nautical_Twilight,Astronomical_Twilight,Wind_Chill.F.,Humidity...,Pressure.in.,Visibility.mi.,Wind_Direction,Wind_Speed.mph.,Precipitation.in.,Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Civil_Twilight,Nautical_Twilight.1,Astronomical_Twilight.1.1,Astronomical_Twilight.1
1,12,7,40.61955,-74.02346,0,0,2020-02-06 9:29,2020-02-06 10:46,1:17,9:29:00,10:46:00,2020,2,6,2020-02-06,9,10,Right lane blocked,3,4.48,28,76,0,Brooklyn Queens Expy,County Highways,R,Brooklyn,Kings,NY,11209,US,US/Eastern,KJRB,2020-02-06 9:35,2020-02-06 9:35,41,Day,Day,35,93,29.53,2,ENE,10,0,Fog,0,0,0,0,0,0,0,0,0,0,0,0,Day,Day,Day,Day
2,12,7,40.61955,-74.02346,0,0,2020-11-21 9:24,2020-11-21 10:55,1:31,9:24:00,10:55:00,2020,11,21,2020-11-21,9,10,Two lanes blocked,3,3.17,28,82,0,Brooklyn Queens Expy,County Highways,R,Brooklyn,Kings,NY,11209,US,US/Eastern,KJRB,2020-11-21 9:51,2020-11-21 9:51,59,Day,Day,59,46,30.23,10,W,6,0,Fair,0,0,0,0,0,0,0,0,0,0,0,0,Day,Day,Day,Day
3,12,7,40.61955,-74.02346,0,0,2019-10-26 15:51,2019-10-26 17:12,1:21,15:51:00,17:12:00,2019,10,26,2019-10-26,15,17,Two lanes blocked,3,4.48,20,76,0,Brooklyn Queens Expy,County Highways,R,Brooklyn,Kings,NY,11209,US,US/Eastern,KJRB,2019-10-26 15:51,2019-10-26 15:51,62,Day,Day,62,39,30.07,10,CALM,0,0,Fair,0,0,0,0,0,0,0,0,0,0,0,0,Day,Day,Day,Day
4,12,7,40.61955,-74.02346,0,0,2020-09-20 15:12,2020-09-20 16:29,1:17,15:12:00,16:29:00,2020,9,20,2020-09-20,15,16,Right lane blocked,3,3.17,20,82,0,Brooklyn Queens Expy,County Highways,R,Brooklyn,Kings,NY,11209,US,US/Eastern,KJRB,2020-09-20 14:51,2020-09-20 14:51,62,Day,Day,62,28,30.41,10,NE,8,0,Fair,0,0,0,0,0,0,0,0,0,0,0,0,Day,Day,Day,Day
5,12,7,40.61955,-74.02346,0,0,2020-01-11 16:14,2020-01-11 18:55,2:41,16:14:00,18:55:00,2020,1,11,2020-01-11,16,18,Right lane blocked,3,4.48,22,73,0,Brooklyn Queens Expy,County Highways,R,Brooklyn,Kings,NY,11209,US,US/Eastern,KJRB,2020-01-11 15:51,2020-01-11 15:51,64,Day,Day,64,60,29.94,10,VAR,6,0,Cloudy,0,0,0,0,0,0,0,0,0,0,0,0,Day,Day,Day,Day
6,12,7,40.61955,-74.02346,0,0,2019-09-15 22:49,2019-09-15 23:18,0:29,22:49:00,23:18:00,2019,9,15,2019-09-15,22,23,One lane blocked ,3,4.49,36,82,0,Brooklyn Queens Expy,County Highways,R,Brooklyn,Kings,NY,11209,US,US/Eastern,KJRB,2019-09-15 22:51,2019-09-15 22:51,72,Night,Night,72,57,29.92,10,CALM,0,0,Fair,0,0,0,0,0,0,0,0,0,0,0,0,Night,Night,Night,Night
7,12,7,40.61955,-74.02346,40.61955,-74.02346,2020-08-03 22:50,2020-08-03 23:19,0:29,22:50:00,23:19:00,2020,8,3,2020-08-03,22,23,Right and center lane blocked,3,0,36,86,0,Brooklyn Queens Expy,County Highways,R,Brooklyn,Kings,NY,11209,US,US/Eastern,KJRB,2020-08-03 22:51,2020-08-03 22:51,73,Night,Night,73,93,29.95,8,NNE,3,0,Fair,0,0,0,0,0,0,0,0,0,0,0,0,Night,Night,Night,Night
8,36,11,40.6659,-73.99604,40.66912,-73.99678,2019-02-05 6:45,2019-02-05 7:15,0:30,6:45:00,7:15:00,2019,2,5,2019-02-05,6,7,Right lane blocked,2,0.226,29,82,0,Gowanus Expy E,County Highways,R,Brooklyn,Kings,NY,11232,US,US/Eastern,KJRB,2019-02-05 6:56,2019-02-05 6:56,43,Day,Day,40.3,82,29.96,10,WSW,4.6,0,Mostly Cloudy,1,0,0,0,0,0,0,0,0,0,0,1,Day,Day,Day,Day
9,36,11,40.6659,-73.99604,40.67653,-74.00127,2018-05-18 7:19,2018-05-18 13:19,6:00,7:19:00,13:19:00,2018,5,18,2018-05-18,7,13,Road closed,4,0.784,0,80,0,Gowanus Expy E,County Highways,R,Brooklyn,Kings,NY,11232,US,US/Eastern,KJRB,2018-05-18 7:15,2018-05-18 7:15,62.6,Day,Day,0,72,30.43,10,NE,17.3,0,Mostly Cloudy,1,0,0,0,0,0,0,0,0,0,0,1,Day,Day,Day,Day
10,36,11,40.6659,-73.99604,40.66912,-73.99678,2020-01-20 7:04,2020-01-20 7:33,0:29,7:04:00,7:33:00,2020,1,20,2020-01-20,7,7,Two lanes blocked,3,0.226,22,76,0,Gowanus Expy E,County Highways,R,Brooklyn,Kings,NY,11232,US,US/Eastern,KJRB,2020-01-20 6:51,2020-01-20 6:51,20,Day,Day,11,55,30.03,10,VAR,7,0,Fair,1,0,0,0,0,0,0,0,0,0,0,1,Day,Day,Day,Day
