ID_Start_Location,differ_HHMM,S_time,Month,Start_Lat,Start_Lng,Distance.mi.,Accident.Description,Traffic.Speed,Street,City,Weather_Condition,New_pred
12,2023-09-24 01:17:00,2020-02-06 09:29:00,2,40.61955,-74.02346,4.48,Right lane blocked,28,Brooklyn Queens Expy,Brooklyn,Fog,3
12,2023-09-24 01:31:00,2020-11-21 09:24:00,11,40.61955,-74.02346,3.17,Two lanes blocked,28,Brooklyn Queens Expy,Brooklyn,Fair,3
12,2023-09-24 01:21:00,2019-10-26 15:51:00,10,40.61955,-74.02346,4.48,Two lanes blocked,20,Brooklyn Queens Expy,Brooklyn,Fair,3
12,2023-09-24 01:17:00,2020-09-20 15:12:00,9,40.61955,-74.02346,3.17,Right lane blocked,20,Brooklyn Queens Expy,Brooklyn,Fair,3
12,2023-09-24 02:41:00,2020-01-11 16:14:00,1,40.61955,-74.02346,4.48,Right lane blocked,22,Brooklyn Queens Expy,Brooklyn,Cloudy,3
12,2023-09-24 00:29:00,2019-09-15 22:49:00,9,40.61955,-74.02346,4.49,One lane blocked ,36,Brooklyn Queens Expy,Brooklyn,Fair,3
12,2023-09-24 00:29:00,2020-08-03 22:50:00,8,40.61955,-74.02346,0.0,Right and center lane blocked,36,Brooklyn Queens Expy,Brooklyn,Fair,3
36,2023-09-24 00:30:00,2019-02-05 06:45:00,2,40.6659,-73.99604,0.226,Right lane blocked,29,Gowanus Expy E,Brooklyn,Mostly Cloudy,2
36,2023-09-24 06:00:00,2018-05-18 07:19:00,5,40.6659,-73.99604,0.784,Road closed,0,Gowanus Expy E,Brooklyn,Mostly Cloudy,3
36,2023-09-24 00:29:00,2020-01-20 07:04:00,1,40.6659,-73.99604,0.226,Two lanes blocked,22,Gowanus Expy E,Brooklyn,Fair,2
36,2023-09-24 00:30:00,2020-01-29 07:57:00,1,40.6659,-73.99604,0.226,Right lane blocked,23,Gowanus Expy E,Brooklyn,Cloudy,2
36,2023-09-24 00:29:00,2019-04-15 09:29:00,4,40.6659,-73.99604,0.226,Right lane blocked,28,Gowanus Expy E,Brooklyn,Partly Cloudy,2
36,2023-09-24 00:27:00,2019-06-27 09:05:00,6,40.6659,-73.99604,0.226,One lane blocked ,28,Gowanus Expy E,Brooklyn,Fair,3
36,2023-09-24 06:00:00,2017-11-29 11:09:00,11,40.6659,-73.99604,0.226,Right lane blocked,37,Gowanus Expy E,Brooklyn,Clear,3
36,2023-09-24 06:00:00,2017-12-01 15:52:00,12,40.6659,-73.99604,0.226,Right lane blocked,26,Gowanus Expy E,Brooklyn,Clear,3
36,2023-09-24 00:27:00,2019-04-04 17:49:00,4,40.6659,-73.99604,0.226,Right lane blocked,15,Gowanus Expy E,Brooklyn,Fair,2
36,2023-09-24 06:00:00,2017-11-28 20:46:00,11,40.6659,-73.99604,0.226,Right lane blocked,39,Gowanus Expy E,Brooklyn,Clear,3
36,2023-09-24 00:28:00,2018-11-29 21:03:00,11,40.6659,-73.99604,0.226,Two lanes blocked,38,Gowanus Expy E,Brooklyn,Partly Cloudy,3
20,2023-09-24 00:30:00,2020-06-26 07:46:00,6,40.6664,-73.80175,0.0,Two lanes blocked,22,Van Wyck Expy S,South Ozone Park,Partly Cloudy,2
20,2023-09-24 00:30:00,2020-06-26 07:46:00,6,40.6664,-73.80175,0.0,Two lanes blocked,22,Van Wyck Expy S,South Ozone Park,Partly Cloudy,2
20,2023-09-24 00:30:00,2020-05-09 17:50:00,5,40.6664,-73.80175,0.0,Right lane blocked,13,Van Wyck Expy S,South Ozone Park,Light Rain,2
20,2023-09-24 00:30:00,2020-05-09 18:58:00,5,40.6664,-73.80175,0.0,Right lane blocked,24,Van Wyck Expy S,South Ozone Park,Mostly Cloudy / Windy,2
20,2023-09-24 00:30:00,2020-05-09 18:54:00,5,40.6664,-73.80175,0.0,Right lane blocked,24,Van Wyck Expy S,South Ozone Park,Mostly Cloudy / Windy,2
20,2023-09-24 00:30:00,2020-05-09 18:23:00,5,40.6664,-73.80175,0.0,Right lane blocked,21,Van Wyck Expy S,South Ozone Park,Mostly Cloudy / Windy,2
